,date,text
680,2017-12-23 18:30:55,#California #wildfire blaze becomes biggest in state's recorded #history #Thomas | @scoopit http://sco.lt/6zGZLF
683,2017-12-23 18:29:38,"""Thomas fire becomes California's largest wildfire in history"" https://www.usatoday.com/story/news/nation-now/2017/12/22/thomas-fire-becomes-californias-largest-wildfire-history/978640001/ #wildfire #California #ThomasFire #destruction"
726,2017-12-23 16:41:41,The Thomas Fire and the California Wildfires Have Now Become the Largest Fire in the History of California: https://crescentvale.com/2017/12/thomas-fire-california-wildfires-now-become-largest-fire-history-california/ #California #ThomasFire #CaliforniaFires #ClimateChange #Environment #News #CaliforniaWildfires #SantaBarbara #LosAngeles
737,2017-12-23 16:27:06,"California Wildfire: Thomas Fire now largest in California history, officials say @CBSNews #ThomasFire #climatechange https://apple.news/AGRWLjEI6TjKwOpxJRyInKg"
772,2017-12-23 15:33:48,via @npr: Thomas Fire Is Now California's Largest Wildfire In History #wildfires #ThomasFire #climatechange http://n.pr/2pnqOQX
774,2017-12-23 15:32:13,Thomas fire becomes largest wildfire on record in California - @latimes #ThomasFire #CaliforniaWildfires http://www.latimes.com/local/lanow/la-me-thomas-fire-size-20171222-20171222-htmlstory.html
779,2017-12-23 15:20:11,"Thomas fire becomes California's largest wildfire in history - it's at 65% containment as of Friday night, according to Cal Fire - https://usat.ly/2BnFwZn via @usatoday #wildfire #ThomasFire"
893,2017-12-23 11:39:21,Thomas fire becomes largest wildfire on record in California. #Thomas #ThomasFire #Wildfire #LAFires http://www.latimes.com/local/lanow/la-me-thomas-fire-size-20171222-20171222-htmlstory.html
998,2017-12-23 09:38:04,#Thomas #fire becomes largest wildfire on record in #California http://dlvr.it/Q7HZBp
1029,2017-12-23 08:44:11, Thomas Fire is now the largest blaze in California history @CNN http://cnn.it/2DAOKmI #Thomasfire #California #Wildfires
1031,2017-12-23 08:42:15,THE CALIFORNIA “THOMAS FIRE” 2017: THANK YOU FIREFIGHTERS / FIRST RESPONDERS!!! https://steemit.com/life/@the-source/the-california-thomas-fire-2017-thank-you-firefighters-first-responders #ThomasFire #California #Wildfire #Ojai #Ventura #SantaBarbara
1078,2017-12-23 08:19:12,California's Thomas 'wildfire' now largest in state history http://www.legitgov.org/Californias-Thomas-wildfire-now-largest-state-history #ThomasFire #California
1097,2017-12-23 07:27:37,(CNN) #Thomas Fire is the largest fire in #California history : The Thomas Fire is now the largest wildfire in.. https://www.storiesflow.com/2363521712/thomas-fire-california-largest-history
1130,2017-12-23 06:36:27,#USA | US officials : #Thomas_wildfire largest blaze ever in #California https://www.facebook.com/alghadeer.english/photos/pcb.1993952630930890/1993952320930921/?type=3&amp;theater Follow us on #Telegram : https://t.me/alghadeertv_news #Washington #WhiteHouse #DonaldTrump #Alghadeertv
1211,2017-12-23 05:30:21,Thomas fire becomes largest wildfire on record in California http://www.latimes.com/local/lanow/la-me-thomas-fire-size-20171222-20171222-htmlstory.html #Wildfire #ThomasFire
1358,2017-12-23 04:15:22,California's #Thomas #Wildfire now #Largest in #State #Histo... - https://fer4.com/?p=63444 - #Californias #News
1527,2017-12-23 03:51:23,"#ThomasFire is now the biggest wildfire in recorded California history. (273,400 acres; 65% contained) El incendio #Thomas se convierte en el más grande en la historia de #California. (273,400 acres; 65% contenido) "
1585,2017-12-23 02:44:43,We will come back from this. California's beauty &amp; our resilience is unmatched. #ThomasFire Thomas fire becomes largest wildfire on record in California – Los Angeles Times http://beta.latimes.com/local/lanow/la-me-thomas-fire-size-20171222-20171222-htmlstory.html
1596,2017-12-23 02:41:14,"The Thomas fire is now California’s largest wildfire on record, burning 273,400 acres. #ThomasFire"
1612,2017-12-23 00:55:48,#California #Thomas #Wildfire extent observed by #InSAR coherence monitoring. Update using #Sentine1 image of Friday 22. Last image of the sequence shows fire extension between December 10 and December 22.
1680,2017-12-22 17:40:53,"Thomas fire within 500 acres of becoming California's largest wildfire on record #ThomasFire is within 500 acres of becoming the largest California wildfire on record. 65% contained 272,800 acres Eclipsed by 2003 Cedar fire (273,246 acres). http://lat.ms/2Bjtlgf via @latimes"
1728,2017-12-22 00:33:52,Thomas Fire on verge of becoming the biggest blaze in California history https://www.sfgate.com/drought/article/Thomas-Fire-on-verge-of-becoming-the-biggest-12444637.php #wildfires #fire #firefighting #California #ThomasFire #climatechange
1750,2017-12-21 17:41:51,Thomas Fire close to becoming the biggest wildfire in California history https://www.huffingtonpost.com/entry/thomas-fire-ranking_us_5a3ab80ee4b025f99e1426be?ncid=engmodushpmg00000004 #via @HuffPostGreen #ClimateChangeIsReal #ClimateAction needed NOW #ThomasFire #wildfire #climate #ClimateChange
1755,2017-12-21 17:00:33,100% of donations to the United Way of Ventura County Thomas Fire relief fund will go to support those impacted. Please RT to get the word out! #ThomasFire #VenturaCounty #Wildfire #California 
1786,2017-12-21 11:04:52,Natural color version: Thomas Fire overview (part) also showing #RyeFire and #CreekFire burn scars #California #USA 20 Dec 2017 #Copernicus #Sentinel-2A Full-size: https://flic.kr/p/22EX88E More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #Wildfire 
1787,2017-12-21 11:04:50,Natural color version: Thomas Fire Eastern tip with some active fires visible #California #USA 20 Dec 2017 #Copernicus #Sentinel-2A Full-size: https://flic.kr/p/21nVCUv More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #Wildfire 
1788,2017-12-21 11:04:48,Thomas Fire Eastern tip with some active fires visible #California #USA 20 Dec 2017 #Copernicus #Sentinel-2A Full-size: https://flic.kr/p/22EXaEU More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #Wildfire 
1905,2017-12-20 13:43:12,"Inferno-fanning winds set to return as Thomas Fire close to becoming largest in California history #ThomasFire has burned burned around 272,000 acres since it broke out on the evening of Dec. 4. http://nbcnews.to/2B7yCaQ via @NBCNews #Firefighters #Wildfires"
1927,2017-12-20 05:51:57,"#TodaysCalifornia FIRE REPORT - #ThomasFire SECOND-LARGEST WILDFIRE modern California history. Thomas fire surpassed the lightning-sparked Rush fire, which burned 271,911 acres in Lassen County in 2012. "
1938,2017-12-20 03:27:12,#Thomasfire UPDATE: The Thomas Fire becomes the 2nd largest wildfire in California's history and is poised to surpass the Cedar Fire as the largest fire the state has ever seen. http://www.keyt.com/news/wildfire/thomas-fire-burns-272000-acres-fire-information/667653802
1945,2017-12-20 02:49:14,The Thomas Fire now 2nd-largest wildfire in modern California history. #ThomasFire
1987,2017-12-19 18:36:29,"""Crews Scramble To Make Gains On Thomas Fire Before Winds Pick Up"" http://losangeles.cbslocal.com/2017/12/19/firefighters-scramble-thomas-fire/ #wildfires #California #ThomasFire #winds"
1991,2017-12-19 17:45:11,"Latest on the #ThomasFire, which is on track to become California's second-largest wildfire today: Gusty winds expected to return this week as Thomas fire continues to grow. http://www.latimes.com/local/lanow/la-me-ln-thomas-fire-winds-return-20171219-story.html"
2031,2017-12-19 06:59:54,"Another NIR/SWIR version, less affected by smoke and showing the burn scar of the Thomas Fire #California #USA 18 Dec 2017 #Copernicus #Sentinel-2B Full-size: https://flic.kr/p/21iMw1k More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #Wildfire "
2032,2017-12-19 06:59:53,"NIR/SWIR version, better showing the burn scar of the Thomas Fire #California #USA 18 Dec 2017 #Copernicus #Sentinel-2B Full-size: https://flic.kr/p/D1tpfV More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #Wildfire "
2033,2017-12-19 06:59:52,And some new images of the Thomas Fire #California #USA 18 Dec 2017 #Copernicus #Sentinel-2B Full-size: https://flic.kr/p/22AY2wm More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #Wildfire 
2125,2017-12-18 17:16:33,Help raise awareness of the Thomas Wildfire! This is about to become the deadliest fire in #California history and nobody knows about it! #Unite #Anonymous and stop the #ThomasFire . Help your world!!! https://youtu.be/wSnSI7Cgux4
2127,2017-12-18 17:15:28,The Thomas fire in Santa Barbara and Ventura counties has grown to be the third-largest wildfire in modern California history. #ThomasFire #California
2214,2017-12-18 12:03:59,Thomas Fire on course to become California's largest-ever wildfire @CNNI http://cnn.it/2APApRG #ThomasFire #California #wildfires
2234,2017-12-18 08:45:46,(CNN) #Thomas #Fire on course to become California's largest-ever wildfire : A wildfire that has devastated.. https://www.storiesflow.com/625721712/thomas-fire-california-course-wildfire
2261,2017-12-18 07:16:25,Thomas Fire on course to become California's largest-ever wildfire - CNN #ThomasFire https://apple.news/A_JvsddFRS3iYjjIKtNo_3A
2355,2017-12-17 17:29:22,#California: Autoridades emiten nueva #orden de #evacuación por #incendios http://www.el-nacional.com/n/215796 via @elnacionalweb #Montecito #SantaBarbara #ThomasFire #wildfire #blaze #OprahWinfrey #EllenDeGeneres #Ventura #evacuation #Sunday #domingo #Thomas #emergencia #incendio
2375,2017-12-17 15:18:24,"Shame on @AmericanAir : charging my parents £300 to rebook flights - they can't go to California to spend Xmas with family due to the Thomas Fire wildfire in Santa Barbara, CA. Have some compassion! #criminal #badservice #SantaBarbara #California #wildfires #ThomasFire"
2382,2017-12-17 15:04:20,#USA: Thomas Fire is now third-largest #wildfire in modern #California history. https://www.facebook.com/alghadeer.english/photos/pcb.1990960707896749/1990960514563435/?type=3 #ThomasFire #thomasfires #CaliforniaFires
2431,2017-12-17 06:57:09,Click more RT @Pierre_Markuse NIR/SWIR added to show burn scars: Thomas Fire smoke plumes #California #USA 16 Dec 2017 #Aqua #MODIS Full-size: https://flic.kr/p/22zn7uc More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #wildfire 
2455,2017-12-17 03:20:31,Thomas Fire is third-largest wildfire in modern California history: approaching Santa Barbara http://www.cnn.com/2017/12/16/us/california-fires/index.html #ThomasFire
2480,2017-12-16 23:44:44,"#California: #Ferocious #wildfire grows more #erratic, #dangerous as #winds pick up https://usat.ly/2BzjZjO via @usatoday #ThomasFire #Thomas #Cedarfire #rushfire #rim #zaca #matilija #laguna #Ventura #SantaBarbara #EllenDeGeneres #firefighters #SantaPaula #disaster #nature"
2487,2017-12-16 22:52:06,"Thomas Fire grows to 3rd largest in history of California, new evacuations ordered http://dlvr.it/Q6JPMY #ThomasFire #Wildfire #Montecito #Summerland #California"
2494,2017-12-16 21:44:46,"#California #wildfire #Thomas now burnt 405 square miles being fought by 8,000+ #firefighters with 1,000 #structures destroyed &amp; more #evacuations ordered 3rd worst Californian #fire on record - will it become the worst of all or will it be contained ?"
2520,2017-12-16 20:21:29,"""New evacuations ordered as California Thomas wildfire rages"" https://www.theguardian.com/us-news/2017/dec/16/california-thomas-wildfire #wildfires #California #evacuations #ThomasFire #destruction"
2594,2017-12-16 15:39:41,"""..11-day-old..4th-largest wildfire in CA history""""..only 35% surrounded by Fri night,despite ongoing efforts by some 8000 firefighters,32 helicopters..78 bulldozers"" #California #Thomas wildfire still threatens thousands of homes https://www.theguardian.com/us-news/2017/dec/16/california-thomas-wildfire #wildfires #danger"
2597,2017-12-16 15:30:17,Thomas Fire becomes third largest in California’s history as firefighters face strong winds this weekend https://www.accuweather.com/en/weather-news/new-round-of-high-winds-to-elevate-risk-of-california-firestorms-this-weekend/70003572#.WjU7zL066-A.twitter #ThomasFire #wildfires #CaliforniaWildfires
2604,2017-12-16 15:23:10,#California #Thomas #wildfire still threatens thousands of homes #Ventura #SantaBarbara #environment @guardian https://www.theguardian.com/us-news/2017/dec/16/california-thomas-wildfire
2613,2017-12-16 14:59:01,#California #Thomas #wildfire still threatens thousands of homes. #natuurbrand #bosbrand #brandweer https://www.theguardian.com/us-news/2017/dec/16/california-thomas-wildfire?CMP=share_btn_tw
2721,2017-12-16 05:18:39,"MAKE IT STOP!!!! #Thomasfireventura #ventura Most of the California wildfires are under control, but the Thomas Fire is still raging https://www.huffingtonpost.com/entry/thomas-fire-red-flag_us_5a343065e4b01d429cc8b81a?ncid=engmodushpmg00000004 via @HuffPost"
2759,2017-12-16 01:45:03,"Wildfires pose $27.7 billion home risk in Southern California. http://elev.at/NZZH30hcTir At more than 234,000 acres, the #Thomas Fire is the fifth largest blaze in modern California history. It’s torched an area larger than all of New York City."
2784,2017-12-15 22:01:29,Thomas Fire smoke plumes #California #USA 15 Dec 2017 #Copernicus #Sentinel-3 Full-size: https://flic.kr/p/21soXWQ More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #wildfire 
2882,2017-12-15 06:53:58,"A firefighter died while battling the wildfire in Southern #California dubbed #ThomasFire on the morning of Dec. 14. Starting 10 days ago, Thomas Fire has scorched over 242,500 acres and destroyed nearly 1,000 structures. http://bit.ly/2jWSXJ8"
2890,2017-12-15 04:20:41,Thomas Fire smoke plumes #California #USA 14 Dec 2017 #Copernicus #Sentinel-3 Full-size: https://flic.kr/p/CSEN5i More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #wildfire 
2931,2017-12-14 22:17:12,"weatherchannel : RT LianaBrackett: The #ThomasFire is now the 4th largest wildfire in California history. And sadly, a firefighter has lost his life from battling the Thomas fire. We might have some rain in the extended forecast...head over to (and follo… "
2933,2017-12-14 22:11:14,"RT LianaBrackett: The #ThomasFire is now the 4th largest wildfire in California history. And sadly, a firefighter has lost his life from battling the Thomas fire. We might have some rain in the extended forecast...head over to (and follow if you're not a… "
2939,2017-12-14 21:58:36,"The #ThomasFire is now the 4th largest wildfire in California history. And sadly, a firefighter has lost his life from battling the Thomas fire. We might have some rain in the extended forecast...head over to (and follow if you're not already!) my FB page: http://www.facebook.com/lianabrackett"
2950,2017-12-14 20:37:08,The Thomas Fire is now the fourth largest in California wildfire history. One way you can help is by donating to #RunForVentura. We need your help! #ThomasFire #ThomasFireFund #LexusLaceUp #Ventura Los Angeles Times http://ift.tt/2j25E4w
2955,2017-12-14 20:30:21,MT @latimes The Thomas fire is now the fourth largest in California wildfire history http://lat.ms/2AGEKum #ThomasFire
2970,2017-12-14 19:44:07,"Thomas Fire burned 242 500 acres, destroyed 751 structures and is just 30% contained http://dlvr.it/Q5zTdX #ThomasFire #wildfires #California"
3060,2017-12-14 04:46:05,RT: 805 Living: More ways to help victims of the Thomas Fire from @VisitVentura: http://bit.ly/2BjCUyX #ThomasFire #ThomasFireRelief #Ventura #giveback #805living #volunteer #wildfires #California #neighbors #fundraiser #spreadtheword #805strong #Ven... https://twitter.com/805Living/status/941115793193840640#labnol
3064,2017-12-14 02:04:02,"#ThomasFire #SoCal #California #CaliforniaFires #wildfires #Guard381 #PCADS #C130 #Airdrop As Thomas blaze grows, firefighters continue the battle: 'This fire is a beast and you're gonna kill it' http://a.msn.com/04/en-us/BBGHQOD?ocid=st"
3067,2017-12-14 01:21:04,More ways to help victims of the Thomas Fire from @VisitVentura: http://bit.ly/2BjCUyX #ThomasFire #ThomasFireRelief #Ventura #giveback #805living #volunteer #wildfires #California #neighbors #fundraiser #spreadtheword #805strong #Venturastrong
3069,2017-12-14 00:37:08,"RT dwnews ""Wildfire #Thomas is still raging across California​. Here's all you need to know: """
3070,2017-12-14 00:35:03,Wildfire #Thomas is still raging across California​. Here's all you need to know: 
3084,2017-12-13 21:07:07,"RT dwnews ""Wildfire #Thomas is still raging across California​. Here's what you need to know. """
3085,2017-12-13 21:03:02,Wildfire #Thomas is still raging across California​. Here's what you need to know. 
3092,2017-12-13 16:37:29,"RT dwnews ""Wildfire #Thomas is still raging across California​. Here's all you need to know. """
3093,2017-12-13 16:34:04,Wildfire #Thomas is still raging across California​. Here's all you need to know. 
3095,2017-12-13 15:52:16,"California Firefighter On Battling The Thomas Wildfire Fighting the #ThomasFire: 912 engines 27 helicopters Almost 7,000 men and women http://bit.ly/2Akvk3l via @kanwfm #Firefighters"
3105,2017-12-13 12:37:33,(NPR) #California's #Thomas Fire 25 Percent Contained : The wildfire has burned through.. https://www.storiesflow.com/26958861709/california-thomas-fire-percent-contained
3134,2017-12-13 02:05:00,Thomas Fire smoke plume extent #California #USA 12 Dec @NASANPP #VIIRS Full-size: https://flic.kr/p/22s1tn8 More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #wildfire 
3163,2017-12-12 23:13:02,"""California Thomas Fire: No end in sight for week-long wildfire"" http://www.bbc.com/news/world-us-canada-42331132 #wildfires #California #ThomasFire #winds #weather"
3298,2017-12-12 16:55:41,"At more than 230,000 acres in Ventura and Santa Barbara counties, the Thomas fire is now the 5th largest wildfire in modern California history #ThomasFire #CaliforniaWildfires Photo Courtesy: @CNN"
3327,2017-12-12 12:52:05,"This is the #ThomasFire today. In one week, it has burned 230,500 acres and counting. It's already the fifth-largest fire in modern #California history – and it's only 15% contained. 2/2 #ThomasFireOjai #thomasfires #Thomas #LA #LAFires #CaliforniaFires #Fire #WildFire "
3328,2017-12-12 12:51:51,"This is the #ThomasFire today. In one week, it has burned 230,500 acres and counting. It's already the fifth-largest fire in modern #California history – and it's only 15% contained. 1/2 #ThomasFireOjai #thomasfires #Thomas #LA #LAFires #CaliforniaFires #Fire #WildFire "
3354,2017-12-12 11:03:48,Firefighter uses fire to fight the Thomas Fire #Thomasfire #wildfire #California @EliasonMike https://twitter.com/EliasonMike/status/940363555114594304
3512,2017-12-11 20:53:16,"Wildfires in Southern California showed resistance to containment efforts Sunday night, growing larger and forcing more homeowners to flee their houses. #report #fire #LosAngeles #SoCal #California #homeowners #update Fox News​ #Thomas #wildfire http://fxn.ws/2BbQCUK"
3523,2017-12-11 20:22:13,(#Deadly #California #Wildfire #Forces #Thousands to #Flee) Top Trending Videos In The World - http://xtrenz.com/2017/12/11/deadly-california-wildfire-forces-thousands-to-flee/ #000 #25 #Acres #Battle #Evacuate #Fire #Firefighters #Homes #Thomas #Ventura
3530,2017-12-11 20:01:02,"""California's Thomas wildfire swells to 230,000 acres, now larger than NYC"" https://www.cnbc.com/2017/12/11/california-wildfires-blaze-for-second-week.html #wildfires #California #ThomasFire #containment"
3563,2017-12-11 18:52:41,The Thomas fire is now the fifth-largest wildfire in California history. Donate here to help victims of the fire rebuild their lives → http://bit.ly/2AcObxu #ThomasFireFund @vcunitedway
3624,2017-12-11 16:54:55,"The #ThomasFire in Ventura County, and now Santa Barbara County, remains the largest and least contained of the Southern California wildfires. The @Cal_OES says the Thomas Fire is now about 7.5 times the size of San Francisco. "
3693,2017-12-11 13:38:33,"At 230,000 acres, Thomas fire is now the fifth-largest wildfire in modern California history 8,500 firefighters are battling the six wildfires across Southern California - @CAL_FIRE http://lat.ms/2jOullV via @latimes #ThomasFire"
3728,2017-12-11 11:33:12,"At 230,000 acres, #Thomas #fire is now the fifth-largest wildfire in modern #California hi - Dec 11 @6:32 AM ET https://youtube.com/watch?v=gfp7nrJKXQI http://oddcrimes.com/static/2017/12/11/At-230000-acres-Thomas-fire-is-now-the-fifth-largest-wildfire-in-modern-California-history.php"
3825,2017-12-11 08:03:20,"(LA Times) At 230,000 acres, #Thomas fire is now the fifth-largest wildfire in modern #California history :.. https://www.storiesflow.com/25988711709/thomas-california-fifth-largest-wildfire-modern-history"
3832,2017-12-11 07:51:23,"At 230,000 acres, #ThomasFire is now the fifth largest wildfire in modern #California history. The blaze has destroyed 524 structures and damaged 135 in the city of #Ventura. #Thomas #ThomasFireOjai #LAFires #CaliforniaWildfires"
3990,2017-12-11 03:06:35,BBC News - #California #wildfires: #Santa #Barbara #threatened by #Thomas #fire
4040,2017-12-11 00:03:11,Data from @Cal_Fire indicates that the #ThomasFire has destroyed 754 structures (plus damaged an additional 162). One-quarter of California's Top 20 most destructive wildfires on record have occurred in the last 70 days: 1) Tubbs 6) Nuns 10) Atlas 11) Thomas 17) Redwood Valley 
4078,2017-12-10 23:20:03,"#California #wildfires : 800 #structures destroyed by #fire 200,000 forced to #evacuate in the last few days due to the #fires coastal town of (seasonal) #SantaBarbara under threat California #Governor says these sort of fires could become normal due to #climate change #Thomas "
4165,2017-12-10 22:55:39,#California #Wildfires: #Santa #Barbara #Threatened by #Thomas #Fire - https://wp.me/p8IYwe-dS1 - #World_News
4175,2017-12-10 19:21:21,"NIR/SWIR version: Thomas Fire , California #USA 9 Dec #Landsat #Landsat8 See Full-size: https://flic.kr/p/EewyPy More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #wildfire #ojaifire"
4176,2017-12-10 19:19:51,"Thomas Fire , California #USA 9 Dec #Landsat #Landsat8 See Full-size: https://flic.kr/p/Eewz6L More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #wildfire #ojaifire"
4178,2017-12-10 19:10:52,"Evacuation orders were issued in #Carpinteria and #Montecito as the #ThomasFire grew to more than 170,000 acres. #ThomasFireOjai #thomasfires #Thomas #LA #LAFires #California #CaliforniaFires #Fire #WildFire"
4191,2017-12-10 10:04:17,#Southern California’s #Thomas #wildfire is now 15 #percent #contained https://goo.gl/fb/EBdjin #news #worldnews
4312,2017-12-08 18:17:49,Photos: Otherworldly scenes unfold as Thomas fire burns into the night http://www.latimes.com/visuals/framework/la-me-fw-wildfire-day3-unfurled-photos-20171207-htmlstory.html #ThomasFire #California #wildfire #LosAngeles
4358,2017-12-08 01:51:49,Body found in burn area as #Thomas #fire spreads along #California #coast --- https://www.facebook.com/imagemagazinenews/photos/a.240943562914817.1073741827.240938356248671/671680169841152/?type=3&amp;theater http://acommediausa.com/acomnews/body-found-in-burn-area-as-thomas-fire-spreads-along-california-coast/ --- #California #Ventura #Wildfires 
